Nome,Local,Valor,URL
Hospede se  em  Avaré a 17 km da represa Jurumirim,Chalé em Avaré,R$300 ,www.airbnb.com.br/rooms/52670603?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-07&previous_page_section_name=1000
Casa represa CostaAzulAvaré Piscina aquecida solar,Casa em Avaré,R$379 ,www.airbnb.com.br/rooms/38115400?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-09&previous_page_section_name=1000
Casa na represa Jurumirim - Avaré,Casa de campo em Avaré,R$232 ,www.airbnb.com.br/rooms/54158941?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-09&previous_page_section_name=1000
Espaço inteiro: Sobrado novinho,Casa em Avaré,R$173 ,www.airbnb.com.br/rooms/798589673362586447?adults=2&children=0&infants=0&pets=0&check_in=2023-03-12&check_out=2023-03-17&previous_page_section_name=1000
Riviera XIII - ÓTIMO PARA QUEM ESTÁ CONSTRUINDO!,Apartamento em Paranapanema,R$265 ,www.airbnb.com.br/rooms/35126676?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-07&previous_page_section_name=1000
Apartamento Riviera de Santa Cristina XIII,Apartamento em Paranapanema,R$368 ,www.airbnb.com.br/rooms/52262596?adults=2&children=0&infants=0&pets=0&check_in=2023-03-03&check_out=2023-03-08&previous_page_section_name=1000
Vila Charmosa com acesso privado a represa,Vila em Arandu,R$493 ,www.airbnb.com.br/rooms/738957233051940076?adults=2&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-13&previous_page_section_name=1000
Casa de campo de alto padrão à beira da represa.,Casa de campo em Itaí,R$997 ,www.airbnb.com.br/rooms/53238528?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-07&previous_page_section_name=1000
casa rivieira santa cristina 2,Casa em Itaí,R$567 ,www.airbnb.com.br/rooms/798504556409317017?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-08&previous_page_section_name=1000
Aconchegante casa na represa.,Casa em São Paulo,R$484 ,www.airbnb.com.br/rooms/775334668939375975?adults=2&children=0&infants=0&pets=0&check_in=2023-03-26&check_out=2023-03-31&previous_page_section_name=1000
O CHALÉ DA TRANQUILIDADE NA REPRESA DE AVARÉ,Casa em Itaí,R$235 ,www.airbnb.com.br/rooms/49084522?adults=2&children=0&infants=0&pets=0&check_in=2023-04-11&check_out=2023-04-16&previous_page_section_name=1000
Casa em Avaré ~ Solar do Sacco ~ Represa Jurumirim,Casa de campo em Avaré,R$335 ,www.airbnb.com.br/rooms/28691809?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-07&previous_page_section_name=1000
"Casa na Represa Avaré, Riviera de Santa Cristina I",Casa em Arandu,R$1.036 ,www.airbnb.com.br/rooms/42805593?adults=2&children=0&infants=0&pets=0&check_in=2023-03-05&check_out=2023-03-10&previous_page_section_name=1000
Casa Alto Padrão Represa Jurumirim até 14 pessoas,Casa de campo em Itaí,R$921 ,www.airbnb.com.br/rooms/51350454?adults=2&children=0&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000
"Maravilhosa casa de campo, na frente da represa",Casa de campo em Arandu,R$525 ,www.airbnb.com.br/rooms/47175091?adults=2&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000
Formosa | Piscina com SPA e Poucos Passos do Clube,Casa em Paranapanema,R$543 ,www.airbnb.com.br/rooms/574455885731153680?adults=2&children=0&infants=0&pets=0&check_in=2023-03-06&check_out=2023-03-11&previous_page_section_name=1000
Casa naю,Casa em Avaré,R$137 ,www.airbnb.com.br/rooms/825673882404492821?adults=2&children=0&infants=0&pets=0&check_in=2023-03-02&check_out=2023-03-09&previous_page_section_name=1000
★A Casa da Represa Jurumirim Avaré +Piscina Aquec.,Casa de campo em Avaré,R$3.542 ,www.airbnb.com.br/rooms/11827081?adults=2&children=0&infants=0&pets=0&check_in=2023-06-01&check_out=2023-06-06&previous_page_section_name=1000
